序号,物料大类,条码/物料编码,名称/物料描述,规格型号,分类/物料组,计量单位,品牌,自定义类别,保质期(天),保质期预警(天),保留小数,状态,标箱折扣系数,货期(天),默认价格,是否标识管理,是否费用化资产
94,食材,8000020275,酱菜系列A,0.001,蔬菜类,KG,,,,,2,已启用,,,,否,否
95,食材,8000020274,水饺,2.5千克*4袋,冻货类,件,快厨,,365,,0,已启用,2.000,,108.00,否,否
96,食材,8000020273,猪耳朵,0.001,鲜肉类,KG,,,,,3,已启用,0.000,,0.00,否,否
97,食材,8000020270,猪血,0.001,蔬菜类,KG,,,,,2,已启用,,,0.00,否,否
98,食材,8000020269,黑鱼片,250g*25盒,冻货类,件,渔益,,360,,0,已启用,0.000,,185.00,否,否
99,食材,8000020263,广东菜心,,蔬菜类,KG,,,,,2,已启用,,,0.00,否,否
100,食材,8000020262,麒麟瓜,0.001,水果类,KG,,,,,2,已启用,,,0.00,否,否
101,食材,8000020261,日本豆腐,0.001,蔬菜类,条,,,,,0,已启用,,,0.00,否,否
102,食材,8000020243,黑鱼,0.001,水产类,KG,,,,,2,已启用,,,0.00,否,否
103,食材,8000020242,小蜜香瓜,0.001,水果类,KG,,,,,2,已启用,,,0.00,否,否
104,食材,8000020241,小河虾,0.001,水产类,KG,,,,,2,已启用,,,0.00,否,否
105,食材,8000020240,优酸乳草莓味,250ml*24,干货调料类,件,伊利,,240,,0,已启用,,,39.00,否,否
106,食材,8000020239,大黄姜,0.001,蔬菜类,KG,,,,,2,已启用,,,0.00,否,否
